[
  ["Homem", "State"],
  ["preso", "Occurrence"],
  ["preventivamente", "Reporting"],
  ["em", "Perception"],
  ["Penafiel", "Perception"],
  ["por", "Reporting"],
  ["obrigar", "Intensional Action"],
  ["companheira", "Aspectual"],
  ["a", "Aspectual"],
  ["prostituir-se", "Intensional Action"],
  ["Um", "Aspectual"],
  ["juiz", "Aspectual"],
  ["de", "Aspectual"],
  ["instrução", "Aspectual"],
  ["ordenou", "Intensional Action"],
  ["a", "Aspectual"],
  ["prisão", "Intensional Action"],
  ["preventiva", "Aspectual"],
  ["de", "Aspectual"],
  ["homem", "Aspectual"],
  ["de", "Aspectual"],
  ["47", "Aspectual"],
  ["anos", "Aspectual"],
  ["de", "Aspectual"],
  ["idade", "Aspectual"],
  ["que", "Aspectual"],
  ["o", "Aspectual"],
  ["Ministério", "Aspectual"],
  ["Público", "Aspectual"],
  ["(MP)", "Aspectual"],
  ["de", "Aspectual"],
  ["Penafiel", "Aspectual"],
  ["indiciou", "Intensional Action"],
  ["por", "Reporting"],
  ["obrigar", "Intensional Action"],
  ["a", "Aspectual"],
  ["mulher", "Aspectual"],
  ["com", "Aspectual"],
  ["quem", "Aspectual"],
  ["vive", "Aspectual"],
  ["a", "Aspectual"],
  ["prostituir-se", "Intensional Action"],
  ["Em", "Aspectual"],
  ["comunicado", "Aspectual"],
  ["a", "Aspectual"],
  ["Polícia","Aspectual"],
  ["Judiciária", "Aspectual"],
  ["que", "Aspectual"],
  ["deteve", "Intensional Action"],
  ["o", "Aspectual"],
  ["homem", "Aspectual"],
  ["e", "Aspectual"],
  ["le", "Aspectual"],
  ["a", "Aspectual"],
  ["juiz", "Aspectual"],
  ["de", "Aspectual"],
  ["instrução", "Aspectual"],
  ["por", "Reporting"],
  ["indicação", "Aspectual"],
  ["do", "Aspectual"],
  ["MP", "Aspectual"],
  ["junto", "Aspectual"],
  ["da", "Aspectual"],
  ["comarca", "Aspectual"],
  ["de", "Aspectual"],
  ["Porto-Este", "Aspectual"],
  ["Penafiel", "Aspectual"],
  ["indica", "Intensional Action"],
  ["o",
