[
  ["GNR", "State"],
  ["detém", "Occurrence"],
  ["homens", "Occurrence"],
  ["por", "Occurrence"],
  ["tráfico", "Occurrence"],
  ["de", "Occurrence"],
  ["droga", "Occurrence"],
  ["em", "Occurrence"],
  ["Sines", "Occurrence"],
  ["distrito", "Occurrence"],
  ["Setúbal", "Occurrence"],
  ["tendo", "Occurrence"],
  ["apreendido", "Occurrence"],
  ["1.673", "Occurrence"],
  ["doses", "Occurrence"],
  ["estupefacientes", "Occurrence"],
  ["divulgou", "Occurrence"],
  ["hoje", "Occurrence"],
  ["aquela", "Occurrence"],
  ["força", "Occurrence"],
  ["segurança", "Occurrence"],
  ["Em", "Occurrence"],
  ["comunicado", "Occurrence"],
  ["a", "Occurrence"],
  ["Guarda", "Occurrence"],
  ["Nacional", "Occurrence"],
  ["Republicana", "Occurrence"],
  ["(GNR)", "Occurrence"],
  ["detiv", "Occurrence"],
  ["os", "Occurrence"],
  ["suspeitos", "Occurrence"],
  ["e", "Occurrence"],
  ["efetuada", "Occurrence"],
  ["na", "Occurrence"],
  ["operação", "Occurrence"],
  ["apreendidas", "Occurrence"],
  ["1.570", "Occurrence"],
  ["doses", "Occurrence"],
  ["de", "Occurrence"],
  ["heroína", "Occurrence"],
  ["103", "Occurrence"],
  ["doses", "Occurrence"],
  ["de", "Occurrence"],
  ["cocaína", "Occurrence"],
  ["844", "Occurrence"],
  ["euros", "Occurrence"],
  ["em", "Occurrence"],
  ["numerário", "Occurrence"],
 ["veículo", "Occurrence"],
  ["quatro", "Occurrence"],
  ["telemóveis", "Occurrence"],
  ["os", "Occurrence"],
  ["detidos", "Occurrence"],
  ["vão", "Occurrence"],
  ["presentes", "Occurrence"],
  ["Tribunal", "Occurrence"],
  ["Judicial", "Occurrence"],
  ["de", "Occurrence"],
  ["Santiago", "Occurrence"],
  ["do", "Occurrence"],
  ["Cacém", "Occurrence"],
  ["para", "Occurrence"],
  ["primeiro", "Occurrence"],
  ["interrogatório", "Occurrence"],
  ["aplicação", "Occurrence"],
  ["eventuais", "Occurrence"],
  ["medidas", "Occurrence"],
  ["coação", "Occurrence"]
]
