[
  ["Violência doméstica", "Date"],
  ["Pulseira eletrónica", "Time"],
  ["para homem", "Time"],
  ["detido", "Time"],
  ["em Penafiel", "Time"],
  ["Um homem de 39 anos", "Time"],
  ["foi colocado", "Time"],
  ["sob vigilância eletrónica", "Time"],
  ["em Penafiel", "Time"],
  ["distrito do Porto", "Time"],
  ["suspeito de violência física", "Time"],
  ["injúrias e ameaças de morte à ex-companheira", "Time"],
  ["de 42 anos", "Time"],
  ["informou hoje fonte da GNR", "Time"],
  ["Em comunicado", "Time"],
  ["a autoridade policial", "Time"],
  ["indicou que o suspeito", "Time"],
  ["\"não aceitou a separação e começou a perseguir a vítima na sua residência e no local de trabalho\"", "Time"],
  ["A mulher já usava um botão de pânico", "Time"],
  ["que lhe tinha sido aplicado por medida de proteção por teleassistência", "Time"],
  ["O homem", "Time"],
  ["com antecedentes criminais por ilícitos da mesma natureza", "Time"],
  ["ficou ainda proibido de contactar a vítima", "Time"]
]



































































































































