[
  ["Homem", "Person"],
  ["Mitrena", "Location"],
  ["Setúbal", "Location"],
  ["Estrada Nacional 10-8", "Location"],
  ["Ciclomotor", "Object"],
  ["Veículo ligeiro", "Object"],
  ["PSP", "Organization"],
  ["Proteção Civil", "Organization"],
  ["Hospital de São Bernardo", "Facility"],
  ["Socorro", "Nature"],
  ["Medicina legal", "Nature"],
  ["Bombeiros", "Nature"],
  ["Palmela", "Nature"],
  ["Sapadores de Setúbal", "Nature"],
  ["VMER", "Nature"],
  ["PSP", "Nature"],
  ["Proteção Civil", "Nature"],
  ["Hospital de São Bernardo", "Nature"],
  ["Socorro", "Nature"],
  ["Medicina legal", "Nature"],
  ["Bombeiros", "Nature"],
  ["Palmela", "Nature"],
  ["Sapadores de Setúbal", "Nature"],
  ["VMER", "Nature"],
  ["PSP", "Nature"],
  ["Proteção Civil", "Nature"],
  ["Hospital de São Bernardo", "Nature"],
  ["Socorro", "Nature"],
  ["Medicina legal", "Nature"],
  ["Bombeiros", "Nature"],
  ["Palmela", "Nature"],
  ["Sapadores de Setúbal", "Nature"],
  ["VMER", "Nature"],
  ["PSP", "Nature"],
  ["Proteção Civil", "Nature"],
  ["Hospital de São Bernardo", "Nature"],
  ["Socorro", "Nature"],
  ["Medicina legal", "Nature"],
  ["Bombeiros", "Nature"],
  ["Palmela", "Nature"],
  ["Sapadores de Setúbal", "Nature"],
  ["VMER","Nature"],
  ["PSP", "Nature"],
  ["Proteção Civil", "Nature"],
  ["Hospital de São Bernardo", "Nature"],
  ["Socorro", "Nature"],
  ["Medicina legal", "Nature"],
  ["Bombeiros", "Nature"],
  ["Palmela", "Nature"],
  ["Sapadores de Setúbal", "Nature"],
  ["VMER", "Nature"],
  ["PSP", "Nature"],
  ["Proteção Civil", "Nature"],
  ["Hospital de São Bernardo", "Nature"],
  ["Socorro", "Nature"],
  ["Medicina legal", "Nature"],
  ["Bombeiros", "Nature"],
  ["Palmela", "Nature"],
  ["Sapadores de Setúbal", "Nature"],
  ["VMER", "Nature"],
  ["PSP", "Nature"],
  ["Proteção Civil", "Nature"],
  ["Hospital de São Bern
