[
  ["Homem", "State"],
  ["morre", "Occurrence"],
  ["após", "Reporting"],
  ["ciclomotor", "Perception"],
  ["que", "Aspectual"],
  ["conduzia", "Intensional Action"],
  ["ser", "Intensional State"],
  ["colhido", "Occurrence"],
  ["veículo", "Perception"],
  ["ligeiro", "Aspectual"],
  ["na", "Reporting"],
  ["Estrada", "Perception"],
  ["Nacional", "Aspectual"],
  ["10-8", "Intensional Action"],
  ["zona", "Intensional State"],
  ["da", "Aspectual"],
  ["Mitrena", "Perception"],
  ["em", "Reporting"],
  ["Setúbal", "Perception"],
  ["disseram", "Reporting"],
  ["fontes", "Perception"],
  ["da", "Aspectual"],
  ["PSP", "Perception"],
  ["e", "Aspectual"],
  ["Proteção", "Perception"],
  ["Civil", "Perception"],
  ["Fonte", "Perception"],
  ["do", "Aspectual"],
  ["Comando", "Perception"],
  ["Distrital", "Aspectual"],
  ["de", "Aspectual"],
  ["Operações", "Perception"],
  ["de", "Aspectual"],
  ["Socorro", "Perception"],
  ["(CDOS)", "Perception"],
  ["indicou", "Reporting"],
  ["às", "Reporting"],
  ["06:55", "Reporting"],
  ["tendo", "Reporting"],
  ["se", "Aspectual"],
  ["mobilizados", "Reporting"],
  ["bombeiros", "Perception"],
  ["e", "Aspectual"],
  ["veículos", "Perception"],
  ["das", "Aspectual"],
  ["corporações", "Perception"],
  ["de", "Aspectual"],
  ["Palmela", "Perception"],
  ["e", "Aspectual"],
  ["Sapadores", "Perception"],
  ["de", "Aspectual"],
  ["Setúbal", "Perception"],
  ["e", "Aspectual"],
  ["uma", "Aspectual"],
  ["viatura", "Perception"],
  ["médica", "Perception"],
  ["de", "Aspectual"],
  ["emergência", "Perception"],
  ["e", "Aspectual"],
  ["reanimação", "Perception"],
  ["(VMER)", "Perception"],
  ["além", "Reporting"],
  ["da", "Aspectual"],
  ["PSP", "Perception"],
  ["e", "Aspectual"],
  ["cinco", "Aspectual"],
  ["veículos", "Perception"],
  ["apoios", "Reporting"],
  ["por", "Reporting"],
  ["seis", "Aspectual"],
  ["elementos", "
