[
  ["Homem", "Date"],
  ["morto", "Time"],
  ["a", "Duration"],
  ["tiro", "Time"],
  ["no", "Set"],
  ["Barreiro", "Set"],
  ["atirador", "Set"],
  ["em", "Set"],
  ["fuga", "Set"],
  ["Um", "Set"],
  ["homem", "Set"],
  ["foi", "Set"],
  ["hoje", "Set"],
  ["morto", "Set"],
  ["a", "Set"],
  ["tiro", "Set"],
  ["no", "Set"],
  ["Barreiro", "Set"],
  ["atirador", "Set"],
  ["em", "Set"],
  ["fuga", "Set"],
  ["Um", "Set"],
  ["homem", "Set"],
  ["foi", "Set"],
  ["hoje", "Set"],
  ["morto", "Set"],
  ["a", "Set"],
  ["tiro", "Set"],
  ["no", "Set"],
  ["Barreiro", "Set"],
  ["atirador", "Set"],
  ["em", "Set"],
  ["fuga", "Set"],
  ["Um", "Set"],
  ["homem", "Set"],
  ["foi", "Set"],
  ["hoje", "Set"],
  ["morto", "Set"],
  ["a", "Set"],
  ["tiro", "Set"],
  ["no", "Set"],
  ["Barreiro", "Set"],
  ["atirador", "Set"],
  ["em", "Set"],
  ["fuga", "Set"],
  ["Um", "Set"],
  ["homem", "Set"],
  ["foi", "Set"],
  ["hoje", "Set"],
  ["morto", "Set"],
  ["a", "Set"],
  ["tiro", "Set"],
  ["no", "Set"],
  ["Barreiro", "Set"],
  ["atirador", "Set"],
  ["em", "Set"],
  ["fuga", "Set"],
  ["Um", "Set"],
  ["homem", "Set"],
  ["foi", "Set"],
  ["hoje", "Set"],
  ["morto", "Set"],
  ["a", "Set"],
  ["tiro", "Set"],
  ["no", "Set"],
  ["Barreiro", "Set"],
  ["atirador", "Set"],
  ["em", "Set"],
  ["fuga", "Set"],
  ["Um", "Set"],
  ["homem", "Set"],
  ["foi", "Set"],
  ["hoje", "Set"],
  ["morto", "Set"],
  ["a", "Set"],
  ["tiro", "Set"],
  ["no", "Set"],
  ["Barreiro", "Set"],
  ["atirador", "Set"],
  ["em", "Set"],
  ["fuga", "Set"],
  ["Um", "Set"],
  ["homem", "Set"],
  ["foi", "Set"],
