[
  ["Homem", "State"],
  ["mata", "Occurrence"],
  ["sete", "Occurrence"],
  ["pessoas", "Occurrence"],
  ["e", "Occurrence"],
  ["fere", "Occurrence"],
  ["outras", "Occurrence"],
  ["sete", "Occurrence"],
  ["com", "Occurrence"],
  ["uma", "Occurrence"],
  ["facas", "Occurrence"],
  ["no", "Occurrence"],
  ["nordeste", "Occurrence"],
  ["da", "Occurrence"],
  ["China", "Occurrence"],
  ["Pelo", "Occurrence"],
  ["menos", "Occurrence"],
  ["sete", "Occurrence"],
  ["pessoas", "Occurrence"],
  ["foram", "Occurrence"],
  ["mortas", "Occurrence"],
  ["e", "Occurrence"],
  ["outras", "Occurrence"],
  ["ficaram", "Occurrence"],
  ["feridas", "Occurrence"],
  ["num", "Occurrence"],
  ["ataque", "Occurrence"],
  ["com", "Occurrence"],
  ["uma", "Occurrence"],
  ["facas", "Occurrence"],
  ["na", "Occurrence"],
  ["porta", "Occurrence"],
  ["de", "Occurrence"],
  ["uma", "Occurrence"],
  ["sauna", "Occurrence"],
  ["e", "Occurrence"],
  ["balneário", "Occurrence"],
  ["tendo", "Occurrence"],
  ["o", "Occurrence"],
  ["suspeito", "Occurrence"],
  ["identificado", "Occurrence"],
  ["por", "Occurrence"],
  ["media", "Occurrence"],
  ["com", "Occurrence"],
  ["o", "Occurrence"],
  ["sobrenome", "Occurrence"],
  ["Yang", "Occurrence"],
  ["o", "Occurrence"],
  ["suspeito", "Occurrence"],
  ["detido", "Occurrence"],
  ["mas", "Occurrence"],
  ["o", "Occurrence"],
  ["motivo", "Occurrence"],
  ["do", "Occurrence"],
  ["ataque", "Occurrence"],
  ["permanece", "Occurrence"],
  ["desconhecido", "Occurrence"],
  ["A", "Occurrence"],
  ["lei", "Occurrence"],
  ["chinesa", "Occurrence"],
  ["restringe", "Occurrence"],
  ["a", "Occurrence"],
  ["venda", "Occurrence"],
  ["e", "Occurrence"],
  ["posse", "Occurrence"],
  ["de", "Occurrence"],
  ["armas", "Occurrence"],
  ["de", "Occurrence"],
  ["fogo", "Occurrence"],
  ["e", "Occurrence"],
  ["ataques", "Occurrence"],
  ["semelhantes", "Occurrence"],
  ["realizados", "Occurrence"],
  ["no", "Occurrence"],
  ["passado", "Occurrence"],
  ["descritos", "Occurrence
