[
  ["Homem", "Person"],
  ["morre", "Nature"],
  ["esfaqueado", "Nature"],
  ["nas", "Location"],
  ["costas", "Location"],
  ["junto", "Location"],
  ["mercado", "Location"],
  ["de", "Location"],
  ["Arroios", "Location"],
  ["em", "Location"],
  ["Lisboa", "Location"],
  ["na", "Location"],
  ["sequência", "Nature"],
  ["de", "Nature"],
  ["um", "Nature"],
  ["desentendimento", "Nature"],
  ["terá", "Nature"],
  ["ocorrido", "Nature"],
  ["a", "Nature"],
  ["rua", "Nature"],
  ["Ângela", "Nature"],
  ["Pinto", "Nature"],
  ["pelas", "Nature"],
  ["10:54", "Nature"],
  ["tendo", "Nature"],
  ["o", "Nature"],
  ["óbito", "Nature"],
  ["declarado", "Nature"],
  ["dentro", "Nature"],
  ["um", "Nature"],
  ["café", "Nature"],
  ["onde", "Nature"],
  ["a", "Nature"],
  ["vítima", "Nature"],
  ["terá", "Nature"],
  ["id", "Nature"],
  ["pedir", "Nature"],
  ["ajuda", "Nature"],
  ["Terá", "Nature"],
  ["envolveu", "Nature"],
  ["uma", "Nature"],
  ["arma", "Nature"],
  ["branca", "Nature"],
  ["tendo", "Nature"],
  ["um", "Nature"],
  ["esfaqueado", "Nature"],
  ["na", "Nature"],
  ["zona", "Nature"],
  ["das", "Nature"],
  ["costas", "Nature"],
  ["Cometlis", "Organization"],
  ["Comando", "Organization"],
  ["Metropolitano", "Organization"],
  ["de", "Organization"],
  ["Lisboa", "Organization"],
  ["na", "Organization"],
  ["sequência", "Nature"],
  ["de", "Nature"],
  ["um", "Nature"],
  ["desentendimento", "Nature"],
  ["terá", "Nature"],
  ["ocorrido", "Nature"],
  ["a", "Nature"],
  ["rua", "Nature"],
  ["Ângela", "Nature"],
  ["Pinto", "Nature"],
  ["pelas", "Nature"],
  ["10:54", "Nature"],
  ["tendo", "Nature"],
  ["o", "Nature"],
  ["óbito", "Nature"],
  ["declarado", "Nature"],
  ["dentro", "Nature"],
  ["um", "Nature"],
  ["café", "Nature"],
