[
  ["Homem", "Date"],
  ["encontrado", "Time"],
  ["morto", "Duration"],
  ["em", "Set"],
  ["cisterna", "Set"],
  ["de", "Set"],
  ["camião", "Set"],
  ["em", "Set"],
  ["Estarreja", "Set"],
  ["Um", "Set"],
  ["homem", "Set"],
  ["de", "Set"],
  ["34", "Set"],
  ["anos", "Set"],
  ["funcionário", "Set"],
  ["da", "Set"],
  ["Transportadora", "Set"],
  ["J", "Set"],
  ["Amaral", "Set"],
  ["em", "Set"],
  ["Estarreja", "Set"],
  ["alerta", "Set"],
  ["dado", "Set"],
  ["pelas", "Set"],
  ["09", "Set"],
  ["56", "Set"],
  ["e", "Set"],
  ["o", "Set"],
  ["homem", "Set"],
  ["a", "Set"],
  ["fazer", "Set"],
  ["a", "Set"],
  ["manutenção", "Set"],
  ["cisterna", "Set"],
  ["de", "Set"],
  ["o", "Set"],
  ["funcionário", "Set"],
  ["da", "Set"],
  ["transportadora", "Set"],
  ["estava", "Set"],
  ["a", "Set"],
  ["fazer", "Set"],
  ["a", "Set"],
  ["manutenção", "Set"],
  ["cisterna", "Set"],
  ["encontrava-se", "Set"],
  ["aberta", "Set"],
  ["acrescentou", "Set"],
  ["o", "Set"],
  ["comandante", "Set"],
  ["dos", "Set"],
  ["Bombeiros", "Set"],
  ["de", "Set"],
  ["Estarreja", "Set"],
  ["Joaquim","Set"],
  ["Rebelo", "Set"],
  ["o", "Set"],
  ["alerta", "Set"],
  ["dado", "Set"],
  ["pelas", "Set"],
  ["09", "Set"],
  ["56", "Set"],
  ["e", "Set"],
  ["o", "Set"],
  ["funcionário", "Set"],
  ["da", "Set"],
  ["transportadora", "Set"],
  ["estava", "Set"],
  ["a", "Set"],
  ["fazer", "Set"],
  ["a", "Set"],
  ["manutenção", "Set"],
  ["cisterna", "Set"],
  ["encontrava-se", "Set"],
  ["aberta", "Set"],
  ["acrescentou", "Set"],
  ["o", "Set"],
  ["Delegada", "Set"],
  ["de", "Set"],
  ["Saude", "Set"],
  ["e", "Set"],
  ["Polícia", "Set"],
