[
  ["Grua de camião", "Occurrence"],
  ["de 52 anos", "Perception"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
 ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "Intensional State"],
  ["morreu", "Aspectual"],
  ["hoje", "Intensional Action"],
  ["homem", "
