[
  ["Date", "Time"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
 ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:00"],
  ["2019-07-21", "12:00:
