[
  ["Date", "Time", "Duration", "Set"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-27", "1989-07-27"],
  ["1989-07-27", "1989-07-27", "1989-07-
