["18:16", "14 anos", "14 anos"]

Explanation:
The first expression is "18:16", which is a time expression that represents a specific point in time. The second expression is "14 anos", which is a time expression that represents a time period. The third expression is "14 anos", which is a time expression that represents a time period.

Hints:
- Use the `re` module to extract time expressions.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the`int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
-Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
- Use the `int` module to extract the time period.
- Use the `float` module to extract the time period.
- Use the `str` module to extract the time period.
