[
  ["Autoridades judiciais", "State"],
  ["fazem", "Intensional Action"],
  ["buscas", "Intensional Action"],
  ["em", "Aspectual"],
  ["casa", "Aspectual"],
  ["de", "Aspectual"],
  ["motorista", "Intensional State"],
  ["de", "Aspectual"],
  ["Maradona", "Intensional State"],
  ["âmbito", "Aspectual"],
  ["da", "Aspectual"],
  ["investigação", "Intensional Action"],
  ["por", "Intensional Action"],
  ["alegada", "Intensional Action"],
  ["negligência", "Intensional Action"],
  ["na", "Aspectual"],
  ["morte", "Intensional State"],
  ["do", "Aspectual"],
  ["ex-futebolista", "Intensional State"],
  ["argentino", "Intensional State"],
  ["ocorrida", "Intensional Action"],
  ["em", "Aspectual"],
  ["25", "Intensional State"],
  ["de", "Aspectual"],
  ["Novembro", "Intensional State"],
  ["As", "Aspectual"],
  ["autoridades", "Intensional State"],
  ["judiciais", "Intensional State"],
  ["fazem", "Intensional Action"],
  ["buscas", "Intensional Action"],
  ["no", "Aspectual"],
  ["apartamento", "Aspectual"],
  ["de", "Aspectual"],
  ["Maximiliano", "Intensional State"],
  ["Trimarchi", "Intensional State"],
  ["motorista", "Intensional State"],
  ["de", "Aspectual"],
  ["Diego", "Intensional State"],
  ["Maradona", "Intensional State"],
  ["âmbito", "Aspectual"],
  ["da", "Aspectual"],
  ["investigação", "Intensional Action"],
  ["por", "Intensional Action"],
  ["alegada", "Intensional Action"],
 ["negligência", "Intensional Action"],
  ["na", "Aspectual"],
  ["morte", "Intensional State"],
  ["do", "Aspectual"],
  ["ex-futebolista", "Intensional State"],
  ["argentino", "Intensional State"],
  ["ocorrida", "Intensional Action"],
  ["em", "Aspectual"],
  ["25", "Intensional State"],
  ["de", "Aspectual"],
  ["Novembro", "Intensional State"],
  ["As", "Aspectual"],
  ["autoridades", "Intensional State"],
  ["judiciais", "Intensional State"],
  ["fazem", "Intensional Action"],
  ["buscas", "Intensional Action"],
  ["no", "Aspectual"],
  ["apartamento", "Aspectual"],
  ["de", "Aspectual"],
  ["Maximiliano", "Intensional State"],
  ["Trimarchi", "Intensional State"],
  ["motorista", "Intensional State"],
  ["
