[
  ["Homem", "State"],
  ["ferido", "Occurrence"],
  ["com", "Aspectual"],
  ["gravidade", "Aspectual"],
  ["após", "Aspectual"],
  ["agressão", "Occurrence"],
  ["com", "Aspectual"],
  ["uma", "Aspectual"],
  ["garrafa", "Occurrence"],
  ["num", "Aspectual"],
  ["restaurante", "Occurrence"],
  ["em", "Aspectual"],
  ["Palmela", "Occurrence"],
  ["Um", "Aspectual"],
  ["homem", "Occurrence"],
  ["de", "Aspectual"],
  ["69", "Aspectual"],
  ["anos", "Aspectual"],
  ["proprietário", "Occurrence"],
  ["de", "Aspectual"],
  ["um", "Aspectual"],
  ["restaurante", "Occurrence"],
  ["em", "Aspectual"],
  ["Cajados", "Occurrence"],
  ["no", "Aspectual"],
  ["concelho", "Occurrence"],
  ["de", "Aspectual"],
  ["Palmela", "Occurrence"],
  ["ficou", "Occurrence"],
  ["hoje", "Aspectual"],
  ["ferido", "Occurrence"],
  ["com", "Aspectual"],
  ["gravidade", "Aspectual"],
  ["depois", "Aspectual"],
  ["de", "Aspectual"],
  ["agressão", "Occurrence"],
  ["com", "Aspectual"],
  ["uma", "Aspectual"],
  ["garrafa", "Occurrence"],
  ["num", "Aspectual"],
  ["restaurante", "Occurrence"],
  ["em", "Aspectual"],
  ["Cajados", "Occurrence"],
  ["no", "Aspectual"],
  ["concelho", "Occurrence"],
  ["de", "Aspectual"],
  ["Palmela", "Occurrence"],
  ["Uma", "Aspectual"],
  ["mulher", "Occurrence"],
  ["aparentemente", "Aspectual"],
  ["embriagada", "Occurrence"],
  ["que", "Aspectual"],
  ["se", "Aspectual"],
  ["pôs", "Occurrence"],
  ["em", "Aspectual"],
  ["fuga", "Occurrence"],
  ["conduzindo", "Occurrence"],
  ["um", "Aspectual"],
  ["automóvel", "Occurrence"],
  ["a", "Aspectual"],
  ["agressão", "Occurrence"],
  ["foi", "Aspectual"],
  ["efetuada", "Occurrence"],
  ["hoje", "Aspectual"],
  ["à", "Aspectual"],
  ["tarde", "Occurrence"],
  ["por", "Aspectual"],
  ["uma", "Aspectual"],
  ["mulher", "Occurrence"],
  ["aparentemente", "Aspectual"],
  ["embriagada",
