[
  ["Violência doméstica", "State"],
  ["Pulseira eletrónica", "Aspectual"],
  ["homem", "Intensional Action"],
  ["detido", "Intensional Action"],
  ["Penafiel", "Aspectual"],
  ["distrito", "Aspectual"],
  ["Porto", "Aspectual"],
  ["suspeito", "Intensional Action"],
  ["violência física", "Intensional Action"],
  ["injúrias", "Intensional Action"],
  ["ameaças de morte", "Intensional Action"],
  ["ex-companheira", "Intensional Action"],
  ["42 anos", "Aspectual"],
  ["indicou", "Reporting"],
  ["autoridade policial", "Aspectual"],
  ["indicou", "Reporting"],
  ["vítima", "Aspectual"],
  ["residência", "Aspectual"],
  ["local de trabalho", "Aspectual"],
  ["perseguir", "IntensionalAction"],
  ["não aceitou", "Intensional Action"],
  ["separação", "Intensional Action"],
  ["medida de proteção", "Aspectual"],
  ["teleassistência", "Aspectual"],
  ["proibido", "Intensional Action"],
  ["contactar", "Intensional Action"],
  ["vítima", "Aspectual"],
  ["antecedentes criminais", "Aspectual"],
  ["ilícitos", "Aspectual"],
  ["mesma natureza", "Aspectual"],
  ["ficou", "Intensional Action"],
  ["proibido", "Intensional Action"],
  ["contactar", "Intensional Action"],
  ["vítima", "Aspectual"],
  ["antecedentes criminais", "Aspectual"],
  ["ilícitos", "Aspectual"],
  ["mesma natureza", "Aspectual"],
  ["ficou", "Intensional Action"],
  ["proibido", "Intensional Action"],
  ["contactar", "Intensional Action"],
  ["vítima", "Aspectual"],
  ["antecedentes criminais", "Aspectual"],
  ["ilícitos", "Aspectual"],
  ["mesma natureza", "Aspectual"],
  ["ficou", "Intensional Action"],
  ["proibido", "Intensional Action"],
  ["contactar", "Intensional Action"],
  ["vítima", "Aspectual"],
  ["antecedentes criminais", "Aspectual"],
  ["ilícitos", "Aspectual"],
  ["mesma natureza", "Aspectual"],
  ["ficou", "Intensional Action"],
  ["proibido", "Intensional Action"],
  ["contactar", "Intensional Action"],
  ["vítima", "Aspectual"],
  ["antecedentes criminais", "Aspectual"],
  ["ilícitos", "Aspectual"],
  ["mesma natureza", "Aspectual"],
  ["ficou", "Intensional Action"],
  ["proibido", "Intensional Action
