[
  ["Homem", "State"],
  ["mata", "Occurrence"],
  ["sete", "Occurrence"],
  ["pessoas", "Occurrence"],
  ["e", "Reporting"],
  ["fere", "Occurrence"],
  ["outras", "Occurrence"],
  ["sete", "Occurrence"],
  ["com", "Reporting"],
  ["uma", "Aspectual"],
  ["facas", "Aspectual"],
  ["no", "Aspectual"],
  ["nordeste", "Aspectual"],
  ["da", "Aspectual"],
  ["China", "Aspectual"],
  ["Pelo", "Reporting"],
  ["menos", "Aspectual"],
  ["sete", "Occurrence"],
  ["pessoas", "Occurrence"],
  ["foram", "Reporting"],
  ["mortas", "Occurrence"],
  ["e", "Reporting"],
  ["outras", "Occurrence"],
  ["ficaram", "Reporting"],
  ["feridas","Occurrence"],
  ["num", "Aspectual"],
  ["ataque", "Aspectual"],
  ["com", "Reporting"],
  ["uma", "Aspectual"],
  ["facas", "Aspectual"],
  ["no", "Aspectual"],
  ["nordeste", "Aspectual"],
  ["da", "Aspectual"],
  ["China", "Aspectual"],
  ["noticiaram", "Reporting"],
  ["hoje", "Aspectual"],
  ["os", "Reporting"],
  ["media", "Aspectual"],
  ["estatais", "Aspectual"],
  ["o", "Reporting"],
  ["suspeito", "Aspectual"],
  ["identificado", "Reporting"],
  ["com", "Reporting"],
  ["o", "Reporting"],
  ["sobrenome", "Aspectual"],
  ["Yang", "Aspectual"],
  ["o", "Reporting"],
  ["suspeito", "Aspectual"],
 ["foi", "Reporting"],
  ["detido", "Occurrence"],
  ["mas", "Reporting"],
  ["o", "Reporting"],
  ["motivo", "Aspectual"],
  ["do", "Aspectual"],
  ["ataque", "Aspectual"],
  ["permanece", "Aspectual"],
  ["desconhecido", "Aspectual"],
  ["A", "Aspectual"],
  ["lei", "Aspectual"],
  ["chinesa", "Aspectual"],
  ["restringe", "Aspectual"],
  ["venda", "Aspectual"],
  ["posse", "Aspectual"],
  ["de", "Aspectual"],
  ["armas", "Aspectual"],
  ["de", "Aspectual"],
  ["fogo", "Aspectual"],
  ["ataques", "Aspectual"],
  ["semelhantes", "Aspectual"],
  ["realizados", "Aspectual"],
  ["no", "Aspectual"],
 
