[
["intends to seek control", "Intensional Action"],
["reported", "Reporting"],
["reflecting", "Aspectual"],
["made", "Occurrence"],
["ended", "State"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting"],
["said", "Reporting
