model,template,entity,precision,recall,f1,f1_r
chatgpt,ext,event triggers,0.45652173913043476,0.2603305785123967,0.3315789473684211,0.6053562085306952
chatgpt,cls,event triggers,0.43351063829787234,0.3367768595041322,0.37906976744186044,0.6174494820571274
chatgpt,cls_def,event triggers,0.6012658227848101,0.3925619834710744,0.475,0.7847463265551989
chatgpt,ext_def,event triggers,0.6129032258064516,0.3925619834710744,0.47858942065491183,0.7822626340679829
chatgpt,ext_exp,event triggers,0.4902654867256637,0.5723140495867769,0.5281220209723547,0.638240772159876
chatgpt,cls_def_exp,event triggers,0.4948453608247423,0.5950413223140496,0.5403377110694184,0.5771639197879062
chatgpt,cls_exp,event triggers,0.5180722891566265,0.621900826446281,0.5652582159624413,0.6427682768412047
chatgpt,ext_def_exp,event triggers,0.5313028764805414,0.6487603305785123,0.5841860465116279,0.6677834573776587
chatgpt,ext,participants,0.27044025157232704,0.07789855072463768,0.12095639943741208,0.610203931921358
chatgpt,ext_def,participants,0.24630541871921183,0.09057971014492754,0.13245033112582782,0.6543221896107234
chatgpt,cls,participants,0.2807017543859649,0.14492753623188406,0.1911589008363202,0.6285364611079204
chatgpt,cls_def,participants,0.27899686520376177,0.161231884057971,0.20436280137772675,0.5979302012259848
chatgpt,ext_exp,participants,0.3704379562043796,0.3677536231884058,0.36909090909090914,0.4284187692589129
chatgpt,cls_exp,participants,0.40699815837937386,0.4003623188405797,0.4036529680365296,0.48519416934797716
chatgpt,cls_def_exp,participants,0.44485981308411215,0.4311594202898551,0.437902483900644,0.49642305963216665
chatgpt,ext_def_exp,participants,0.47889908256880737,0.47282608695652173,0.47584320875113956,0.4638925045928464
chatgpt,cls_exp,time expressions,0.21951219512195122,0.5869565217391305,0.31952662721893493,0.39901775308025306
chatgpt,cls,time expressions,0.2871287128712871,0.6304347826086957,0.3945578231292517,0.5090127835127836
chatgpt,ext_def_exp,time expressions,0.425,0.3695652173913043,0.3953488372093023,0.4015740080025795
chatgpt,cls_def_exp,time expressions,0.3333333333333333,0.5434782608695652,0.4132231404958678,0.43565661190661203
chatgpt,ext_exp,time expressions,0.38181818181818183,0.45652173913043476,0.4158415841584158,0.5290524660524661
chatgpt,cls_def,time expressions,0.35135135135135137,0.5652173913043478,0.43333333333333335,0.5320192770192771
chatgpt,ext_def,time expressions,0.3880597014925373,0.5652173913043478,0.46017699115044247,0.6203699263699264
chatgpt,ext,time expressions,0.4339622641509434,0.5,0.46464646464646464,0.6414492914492914
gpt3,ext,event triggers,0.051470588235294115,0.014462809917355372,0.022580645161290325,0.4016598151683476
gpt3,ext_def,event triggers,0.05660377358490566,0.01859504132231405,0.027993779160186624,0.4384221215461247
gpt3,cls,event triggers,0.2870967741935484,0.18388429752066116,0.22418136020151133,0.4414312398521896
gpt3,cls_def,event triggers,0.32044198895027626,0.2396694214876033,0.27423167848699764,0.4454472036505156
gpt3,ext_def_exp,event triggers,0.4121813031161473,0.6012396694214877,0.48907563025210093,0.4923345730944152
gpt3,cls_def_exp,event triggers,0.4217391304347826,0.6012396694214877,0.495741056218058,0.4853852366986507
gpt3,cls_exp,event triggers,0.41620111731843573,0.6157024793388429,0.49666666666666665,0.4797039383694619
gpt3,ext_exp,event triggers,0.42773722627737226,0.6053719008264463,0.5012831479897348,0.5019300180045176
gpt3,ext_def,participants,0.27232142857142855,0.1105072463768116,0.15721649484536082,0.6689253853490487
gpt3,ext,participants,0.3037383177570093,0.11775362318840579,0.16971279373368148,0.6679953307443103
gpt3,cls_def,participants,0.2976190476190476,0.1358695652173913,0.18656716417910446,0.6026817104910538
