[
  ["Person", "Homem"],
  ["Organization", "GNR"],
  ["Organization", "Polícia Judiciária"],
  ["Location", "Rua da Figueirinha"],
  ["Location", "Grijó"],
  ["Location", "Vila Nova de Gaia"],
  ["Location", "Porto"],
  ["Nature", "Arma de fogo"],
  ["Nature", "Tiro"],
  ["Nature", "Suicídio"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
 ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature", "Terminar a relação"],
  ["Nature", "Relacionado"],
  ["Nature", "Terminar"],
  ["Nature", "Relação"],
  ["Nature
