["Date", "Time", "Duration", "Set"]

Examples:
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2016-01-01", "2016-01-01", "2016-01-01", "2016-01-01"]
["2
