[
  ["For The World", "State"],
  ["this is Pamela McCall", "Occurrence"],
  ["in the BBC news room", "Perception"],
  ["in London", "Aspectual"],
  ["More heavy gunfire", "Intensional Action"],
  ["in the Serbian province of Kosovo", "Intensional State"],
  ["It's the second day of an offensive by the security forces against villages populated by ethnic Albanians", "Intensional Action"],
  ["BBC correspondent Karyn Coleman reports from Kosovo", "Occurrence"],
  ["There were more accounts of people fleeing from the villages near where the offensive was taking place", "Occurrence"],
  ["They were too afraid to stay", "Occurrence"],
  ["fearing the forces may also move their operations further afield", "Occurrence"],
  ["By mid afternoon", "Occurrence"],
  ["official Serb sources were saying the operation was over", "Occurrence"],
  ["but that has not yet been confirmed from Belgrade", "Occurrence"],
  ["the capital of Serbia", "Aspectual"],
  ["which is where the whole attack is thought to have been planned", "Aspectual"],
  ["The ethnic Albanians here in Kosovo are considerably worried about the future", "Aspectual"],
  ["and fear they are witnessing the beginnings of a much wider conflict", "Aspectual"],
  ["Karyn Coleman", "Occurrence"],
  ["BBC news", "Occurrence"],
  ["Pristina", "Aspectual"]
]
