model,template,entity,precision,recall,f1,f1_r
chatgpt,ext,event triggers,0.11888111888111888,0.06367041198501873,0.08292682926829267,0.37072557869227746
chatgpt,cls,event triggers,0.36324786324786323,0.31835205992509363,0.33932135728542917,0.5325537653597998
chatgpt,ext_def,event triggers,0.449438202247191,0.299625468164794,0.3595505617977528,0.6079811335265035
chatgpt,cls_def,event triggers,0.5335365853658537,0.32771535580524347,0.40603248259860797,0.5876607158773097
chatgpt,ext_exp,event triggers,0.5824634655532359,0.5224719101123596,0.5508390918065154,0.6857901194323417
chatgpt,ext_def_exp,event triggers,0.6575,0.49250936329588013,0.563169164882227,0.6803186184515939
chatgpt,cls_exp,event triggers,0.7249283667621776,0.4737827715355805,0.5730464326160815,0.6292588582590178
chatgpt,cls_def_exp,event triggers,0.7863777089783281,0.4756554307116105,0.5927654609101517,0.6989613727827516
chatgpt,cls,time expressions,0.21182266009852216,0.34959349593495936,0.26380368098159507,0.43717818111121687
chatgpt,cls_def,time expressions,0.2231404958677686,0.43902439024390244,0.2958904109589041,0.4133606353025708
chatgpt,ext_def,time expressions,0.2631578947368421,0.36585365853658536,0.3061224489795918,0.5660029542217042
chatgpt,ext,time expressions,0.3310344827586207,0.3902439024390244,0.3582089552238806,0.6378794845001742
chatgpt,cls_exp,time expressions,0.3142857142857143,0.44715447154471544,0.36912751677852346,0.534266420308087
chatgpt,cls_def_exp,time expressions,0.3656716417910448,0.3983739837398374,0.38132295719844356,0.5105841182626898
chatgpt,ext_exp,time expressions,0.4074074074074074,0.44715447154471544,0.42635658914728686,0.582236348307777
chatgpt,ext_def_exp,time expressions,0.5903614457831325,0.3983739837398374,0.4757281553398058,0.6135338246409675
gpt3,ext,event triggers,0.0070921985815602835,0.0018726591760299626,0.0029629629629629632,0.23341978174296135
gpt3,ext_def,event triggers,0.08130081300813008,0.018726591760299626,0.030441400304414005,0.26540575476522915
gpt3,cls,event triggers,0.046875,0.033707865168539325,0.0392156862745098,0.10210689556893034
gpt3,cls_def,event triggers,0.05274725274725275,0.0449438202247191,0.048533872598584424,0.09786087645345605
gpt3,cls_exp,event triggers,0.2300163132137031,0.2640449438202247,0.24585876198779424,0.24085154530014208
gpt3,cls_def_exp,event triggers,0.3614864864864865,0.40074906367041196,0.3801065719360568,0.3954225101693198
gpt3,ext_exp,event triggers,0.4835443037974684,0.35767790262172283,0.41119483315392896,0.509955494002901
gpt3,ext_def_exp,event triggers,0.49744897959183676,0.3651685393258427,0.4211663066954644,0.5616326515244171
gpt3,cls_def,time expressions,0.16818181818181818,0.3008130081300813,0.2157434402332362,0.33808776067407015
gpt3,cls,time expressions,0.22340425531914893,0.34146341463414637,0.27009646302250806,0.43882416855631146
