[
  ["Homem", "Occurrence"],
  ["morre", "Aspectual"],
  ["esfaqueado", "Aspectual"],
  ["nas", "Aspectual"],
  ["costas", "Aspectual"],
  ["junto", "Aspectual"],
  ["mercado", "Aspectual"],
  ["de", "Aspectual"],
  ["Arroios", "Aspectual"],
  ["em", "Aspectual"],
  ["Lisboa", "Aspectual"],
  ["sequência", "Aspectual"],
  ["depois", "Aspectual"],
  ["de", "Aspectual"],
  ["ter", "Aspectual"],
  ["esfaqueado", "Aspectual"],
  ["nas", "Aspectual"],
  ["costas", "Aspectual"],
  ["tendo", "Aspectual"],
  ["o", "Aspectual"],
  ["óbito", "Aspectual"],
  ["declarado", "Aspectual"],
  ["dentro", "Aspectual"],
  ["um", "Aspectual"],
  ["café", "Aspectual"],
  ["onde", "Aspectual"],
  ["a", "Aspectual"],
  ["vítima", "Aspectual"],
  ["terá", "Aspectual"],
  ["envolveu", "Aspectual"],
  ["uma", "Aspectual"],
  ["arma", "Aspectual"],
  ["branca", "Aspectual"],
  ["tendo", "Aspectual"],
  ["um", "Aspectual"],
  ["dos", "Aspectual"],
  ["indivíduos", "Aspectual"],
  ["que", "Aspectual"],
  ["envolveu", "Aspectual"],
  ["uma", "Aspectual"],
  ["arma", "Aspectual"],
  ["branca", "Aspectual"],
  ["tendo", "Aspectual"],
  ["um", "Aspectual"],
  ["dos", "Aspectual"],
  ["indivíduos", "Aspectual"],
  ["que", "Aspectual"],
  ["envolveu", "Aspectual"],
  ["uma", "Aspectual"],
  ["arma", "Aspectual"],
  ["branca", "Aspectual"],
  ["tendo", "Aspectual"],
  ["um", "Aspectual"],
  ["dos", "Aspectual"],
  ["indivíduos", "Aspectual"],
  ["que", "Aspectual"],
  ["envolveu", "Aspectual"],
  ["uma", "Aspectual"],
  ["arma", "Aspectual"],
  ["branca", "Aspectual"],
  ["tendo", "Aspectual"],
  ["um", "Aspectual"],
  ["dos", "Aspectual"],
  ["indivíduos", "Aspectual"],
  ["que", "Aspectual"],
  ["envolveu", "Aspectual"],
  ["uma", "Aspectual"],
  ["arma",
