[
  ["Homem", "Occurrence"],
  ["mata", "Intensional Action"],
  ["sete", "Aspectual"],
  ["pessoas", "Aspectual"],
  ["e", "Aspectual"],
  ["fere", "Intensional Action"],
  ["outras", "Aspectual"],
  ["sete", "Aspectual"],
  ["com", "Intensional State"],
  ["uma", "Intensional State"],
  ["fac", "Intensional State"],
  ["na", "Intensional State"],
  ["norte", "Intensional State"],
  ["do", "Intensional State"],
  ["leste", "Intensional State"],
  ["da", "Intensional State"],
  ["China", "State"],
  ["Pelo", "Intensional State"],
  ["mínimo", "Intensional State"],
  ["sete", "Aspectual"],
  ["pessoas", "Aspectual"],
  ["foram", "Intensional State"],
  ["mortas", "Intensional State"],
  ["e", "Intensional State"],
  ["outras", "Aspectual"],
  ["sete", "Aspectual"],
  ["ficaram", "Intensional State"],
  ["feridas", "Intensional State"],
  ["num", "Intensional State"],
  ["ataque", "Intensional State"],
  ["com", "Intensional State"],
  ["uma", "Intensional State"],
  ["fac", "Intensional State"],
  ["na", "Intensional State"],
  ["cidade", "Intensional State"],
  ["de", "Intensional State"],
  ["Kaiyuan", "Intensional State"],
  ["província", "Intensional State"],
  ["Liaoning", "Intensional State"],
  ["perpetrado", "Intensional State"],
  ["à", "Intensional State"],
  ["porta", "Intensional State"],
  ["de", "Intensional State"],
  ["uma", "Intensional State"],
  ["sauna", "Intensional State"],
  ["e", "Intensional State"],
  ["balneário", "Intensional State"],
  ["tendo", "Intensional State"],
  ["o", "Intensional State"],
  ["suspeito", "Intensional State"],
  ["identificado", "Intensional State"],
  ["por", "Intensional State"],
  ["os", "Intensional State"],
  ["media", "Intensional State"],
  ["com", "Intensional State"],
  ["sobrenome", "Intensional State"],
  ["Yang", "Intensional State"],
  ["detido", "Intensional State"],
  ["motivo", "Intensional State"],
  ["do", "Intensional State"],
  ["ataque", "Intensional State"],
  ["permanecer", "Intensional State"],
  ["desconhecido", "Intensional State"],
  ["lei", "Intensional State"],
  ["chinesa", "Intensional State"],
  ["restringe", "Intensional State"],
  ["venda", "Intensional State"],
  ["posse", "Intensional State"],
  ["armas", "Intensional
