[
  ["Homem", "State"],
  ["Encontrado", "Occurrence"],
  ["Morto", "Occurrence"],
  ["Cisterna", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Estarreja", "Aspectual"],
  ["Funcionário", "Aspectual"],
  ["Transportadora", "Aspectual"],
  ["J Amaral", "Aspectual"],
  ["Em", "Aspectual"],
  ["Cisterna", "Aspectual"],
  ["De", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Encontrado", "Occurrence"],
  ["Morto", "Occurrence"],
  ["Cisterna", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Estarreja", "Aspectual"],
  ["Funcionário", "Aspectual"],
  ["Transportadora", "Aspectual"],
  ["J Amaral", "Aspectual"],
  ["Em", "Aspectual"],
  ["Cisterna", "Aspectual"],
  ["De", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Encontrado", "Occurrence"],
  ["Morto", "Occurrence"],
  ["Cisterna", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Estarreja", "Aspectual"],
  ["Funcionário", "Aspectual"],
  ["Transportadora", "Aspectual"],
  ["J Amaral", "Aspectual"],
  ["Em", "Aspectual"],
  ["Cisterna", "Aspectual"],
  ["De", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Encontrado", "Occurrence"],
  ["Morto", "Occurrence"],
  ["Cisterna", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Estarreja", "Aspectual"],
  ["Funcionário", "Aspectual"],
  ["Transportadora", "Aspectual"],
  ["J Amaral", "Aspectual"],
  ["Em", "Aspectual"],
  ["Cisterna", "Aspectual"],
  ["De", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Encontrado", "Occurrence"],
  ["Morto", "Occurrence"],
  ["Cisterna", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Estarreja", "Aspectual"],
  ["Funcionário", "Aspectual"],
  ["Transportadora", "Aspectual"],
  ["J Amaral", "Aspectual"],
  ["Em", "Aspectual"],
  ["Cisterna", "Aspectual"],
  ["De", "Aspectual"],
  ["Camião", "Aspectual"],
  ["Encontrado", "Occurrence"],
  ["Morto", "Occurrence"],
  ["Cisterna", "Aspectual"],
  ["
